ticker,name,market,locale,active,source_feed,type
I:DJUSVL,Dow Jones U.S. Large-Cap Value Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DWLVT,Dow Jones U.S. Large-Cap Value Total Stock Market Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSLE,Dow Jones U.S. Leisure Goods Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIL,Dow Jones U.S. Life Insurance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTLAB,Dow Jones U.S. Low Beta Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJTSMO,Dow Jones U.S. Low Momentum Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSLW,Dow Jones U.S. Low-Cap Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Size
I:DJUSMT,Dow Jones U.S. Marine Transportation Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSAV,Dow Jones U.S. Media Agencies Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSME,Dow Jones U.S. Media Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSAM,Dow Jones U.S. Medical Equipment Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSMS,Dow Jones U.S. Medical Supplies Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGM,Dow Jones U.S. Mid-Cap Growth Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSM,Dow Jones U.S. Mid-Cap Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Size
I:DWMT,Dow Jones U.S. Mid-Cap Total Stock Market Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Size
I:DJUSVM,Dow Jones U.S. Mid-Cap Value Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSMG,Dow Jones U.S. Mining Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSWC,Dow Jones U.S. Mobile Telecommunications Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSWCT,Dow Jones U.S. Mobile Telecommunications Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSMF,Dow Jones U.S. Mortgage Finance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSMR,Dow Jones U.S. Mortgage REITs Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSMU,Dow Jones U.S. Multiutilities Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHN,Dow Jones U.S. Nondurable Household Products Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSNF,Dow Jones U.S. Nonferrous Metals Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIX,Dow Jones U.S. Nonlife Insurance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSEN,Dow Jones U.S. Oil & Gas Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSOG,Dow Jones U.S. Oil & Gas Producers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSENT,Dow Jones U.S. Oil & Gas Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSOI,Dow Jones U.S. Oil Equipment & Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSOQ,Dow Jones U.S. Oil Equipment Services & Distribution Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSOQT,Dow Jones U.S. Oil Equipment Services & Distribution Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSNG,Dow Jones U.S. Personal & Household Goods Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPG,Dow Jones U.S. Personal Goods Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCM,Dow Jones U.S. Personal Products Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPN,Dow Jones U.S. Pharmaceuticals & Biotechnology Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPR,Dow Jones U.S. Pharmaceuticals Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPRT,Dow Jones U.S. Pharmaceuticals Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPL,Dow Jones U.S. Pipelines Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIP,Dow Jones U.S. Property & Casualty Insurance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPB,Dow Jones U.S. Publishing Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRR,Dow Jones U.S. Railroads Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSR10T,Dow Jones U.S. Real Estate Dail,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRE,Dow Jones U.S. Real Estate Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRH,Dow Jones U.S. Real Estate Investment & Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRI,Dow Jones U.S. Real Estate Investment Trusts Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSES,Dow Jones U.S. Real Estate Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRET,Dow Jones U.S. Real Estate Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRP,Dow Jones U.S. Recreational Products Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRQ,Dow Jones U.S. Recreational Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIU,Dow Jones U.S. Reinsurance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTLSV,Dow Jones U.S. Relative Value Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJTLSVT,Dow Jones U.S. Relative Value Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSRN,Dow Jones U.S. Residential REITs Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRU,Dow Jones U.S. Restaurants & Bars Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRT,Dow Jones U.S. Retail Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSRL,Dow Jones U.S. Retail REITs Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSASDCT,Dow Jones U.S. Select Aerospace,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSASDC,Dow Jones U.S. Select Aerospace,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSASD,Dow Jones U.S. Select Aerospace & Defense Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSASDT,Dow Jones U.S. Select Aerospace & Defense Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJDVP,Dow Jones U.S. Select Dividend Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJDVY,Dow Jones U.S. Select Dividend Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJSHCP,Dow Jones U.S. Select Health Care Providers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSHCPT,Dow Jones U.S. Select Health Care Providers Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSHMB,Dow Jones U.S. Select Home Construction Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSHMBT,Dow Jones U.S. Select Home Construction Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSINS,Dow Jones U.S. Select Insurance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSINST,Dow Jones U.S. Select Insurance Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
